x,y
-0.0,-0.0
100.6728,0.645
141.5468,1.1669
142.7928,1.3243
144.0091,1.6366
145.1767,2.0989
146.2772,2.7039
147.2932,3.442
148.2086,4.3017
149.0091,5.2693
149.682,6.3296
150.2167,7.4659
150.6048,8.6602
150.8401,9.8938
150.9189,11.1471
150.8401,12.4005
150.6048,13.634
150.2167,14.8284
149.682,15.9647
149.0091,17.025
148.2086,17.9926
147.2932,18.8523
146.2772,19.5904
145.1767,20.1954
144.0091,20.6577
142.7928,20.97
141.5468,21.1274
91.2212,21.1507
74.2939,21.2674
73.0775,21.5797
71.9099,22.042
70.8094,22.647
69.7934,23.3851
68.878,24.2448
68.0775,25.2124
67.4046,26.2727
66.8699,27.409
66.4819,28.6034
66.2465,29.8369
66.1677,31.0903
66.2465,32.3436
66.4819,33.5772
66.8699,34.7715
67.4046,35.9078
68.0775,36.9681
68.878,37.9357
69.7934,38.7954
70.8094,39.5335
71.9099,40.1385
73.0775,40.6008
74.2939,40.9131
75.5398,41.0705
85.1632,41.2997
140.8173,41.2905
142.0632,41.4478
143.2796,41.7601
144.4472,42.2224
145.5477,42.8274
146.5637,43.5656
147.4791,44.4252
148.2796,45.3929
148.9525,46.4532
149.4872,47.5895
149.8753,48.7838
150.1106,50.0174
150.1894,51.2707
150.2969,74.265
150.0616,75.4986
149.6735,76.693
149.1389,77.8292
148.4659,78.8896
147.6655,79.8572
146.75,80.7168
145.7341,81.455
144.6336,82.06
143.4659,82.5223
142.2496,82.8346
141.0037,82.992
101.3518,82.9171
100.1059,82.7597
98.8896,82.4474
97.722,81.9851
96.6215,81.3801
95.6055,80.642
94.6901,79.7823
93.8896,78.8147
93.2167,77.7543
92.682,76.6181
92.2939,75.4237
92.0586,74.1902
91.9797,72.9368
91.9869,71.7274
91.9081,70.474
91.6727,69.2405
91.2847,68.0461
90.75,66.9099
90.0771,65.8495
89.2766,64.8819
88.3611,64.0222
87.3452,63.2841
86.2447,62.6791
85.0771,62.2168
83.8607,61.9045
82.6148,61.7471
69.339,61.6298
68.0931,61.7872
66.8767,62.0995
65.7091,62.5618
64.6087,63.1667
63.5927,63.9049
62.6772,64.7646
61.8767,65.7322
61.2038,66.7925
60.6692,67.9288
60.2811,69.1231
60.0458,70.3567
59.9669,71.61
59.769,169.8749
59.8478,171.1282
60.0831,172.3618
60.4712,173.5561
61.0059,174.6924
61.6788,175.7527
62.4793,176.7203
63.3947,177.58
64.4107,178.3181
65.5112,178.9231
66.6788,179.3854
67.8952,179.6977
69.1411,179.8551
137.1313,179.9426
138.3772,180.1
139.5936,180.4123
140.7612,180.8746
141.8617,181.4796
142.8776,182.2178
143.7931,183.0774
144.5936,184.045
145.2665,185.1053
145.8012,186.2416
146.1892,187.436
146.4245,188.6696
146.567,190.6077
146.4245,192.5739
146.1892,193.8075
145.8012,195.0018
145.2665,196.1381
144.5936,197.1985
143.7931,198.1661
142.8776,199.0257
141.8617,199.7639
140.7612,200.3689
139.5936,200.8312
138.3772,201.1435
137.1313,201.3009
71.9884,201.6022
70.772,201.9145
69.6044,202.3768
68.5039,202.9818
67.4879,203.7199
66.5725,204.5796
65.772,205.5472
65.0991,206.6075
64.5644,207.7438
64.1764,208.9381
63.941,210.1717
63.8622,211.425
63.941,212.6784
64.1764,213.9119
64.5644,215.1063
65.0991,216.2426
65.772,217.3029
66.5725,218.2705
67.4879,219.1302
68.5039,219.8683
69.6044,220.4733
70.772,220.9356
71.9884,221.2479
73.2343,221.4053
114.6433,221.6389
115.8799,221.8569
117.074,222.2449
118.2026,222.7953
119.2435,223.4975
120.1766,224.3376
120.9837,225.2995
121.6491,226.3643
122.1598,227.5114
122.5059,228.7184
122.6807,229.9617
122.6807,231.2174
122.5059,232.4608
122.1598,233.6677
121.6491,234.8148
120.9837,235.8796
120.1766,236.8415
119.2435,237.6817
118.2026,238.3838
117.074,238.9342
115.8799,239.3222
114.6433,239.5403
113.3885,239.5841
68.599,238.515
67.3531,238.6724
66.1368,238.9847
64.9691,239.447
63.8687,240.052
62.8527,240.7901
61.9372,241.6498
61.1368,242.6174
60.4639,243.6777
59.9292,244.814
59.5411,246.0084
59.3058,247.2419
59.2269,248.4953
59.3637,279.6581
58.6872,286.0325
58.0032,292.334
57.281,298.5755
56.4283,304.8004
55.4454,311.0061
54.1953,316.8914
53.499,319.6118
52.7656,322.6664
51.9367,325.6966
51.013,328.6992
49.9954,331.6712
48.885,334.6099
47.6828,337.5122
46.39,340.3754
45.008,343.1965
43.538,345.9728
41.9815,348.7016
40.3401,351.3801
38.6154,354.0058
36.809,356.576
34.9228,359.0881
32.9586,361.5399
30.9184,363.9286
28.8042,366.2521
26.618,368.5081
24.362,370.6943
22.0385,372.8085
19.6497,374.8488
17.198,376.8129
14.7529,378.6768
12.7641,380.1925
10.716,381.6191
8.0658,383.4165
5.4675,385.1823
2.8328,386.8933
0.1628,388.5488
-2.5412,390.1479
-5.2782,391.6902
-8.0468,393.1747
-10.8459,394.6009
-13.6743,395.9682
-16.5307,397.276
-19.4139,398.5236
-22.3225,399.7106
-25.2554,400.8365
-28.2112,401.9006
-31.1887,402.9026
-34.1864,403.8421
-37.2032,404.7185
-40.2377,405.5316
-43.2886,406.281
-46.3545,406.9663
-49.434,407.5872
-52.5259,408.1436
-55.6288,408.635
-58.7412,409.0613
-61.8619,409.4224
-64.9895,409.7181
-68.1226,409.9482
-71.3242,410.2414
-74.5447,410.3937
-77.8471,410.5339
-81.0689,410.662
-108.9534,411.8026
-113.6593,412.0493
-118.3589,412.3944
-123.0503,412.8378
-127.7314,413.3795
-132.4001,414.019
-137.0544,414.7562
-141.6922,415.5906
-146.3115,416.5221
-150.9104,417.55
-155.4866,418.6741
-160.0384,419.8937
-164.5636,421.2084
-169.0602,422.6176
-173.5264,424.1206
-177.9601,425.7168
-182.3594,427.4056
-186.7224,429.1861
-191.0472,431.0576
-195.3317,433.0192
-199.5743,435.0701
-203.773,437.2095
-207.926,439.4363
-211.3457,441.2366
-216.2276,443.7702
-220.7168,446.2504
-225.3696,448.9828
-230.0028,451.683
-234.4584,454.5661
-238.8097,457.4605
-243.2185,460.3159
-247.8657,463.4954
-251.5922,466.1848
-255.8936,469.3856
-260.6456,472.7072
-284.771,488.7303
-307.3975,502.5217
-323.6168,511.1519
-344.11,520.8853
-356.5682,525.9962
